Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Mount Pleasant,49.265936207393395,-123.09320121587707,Seaside Seawall,49.272541366825045,-123.10406112544591,Trail
Mount Pleasant,49.265936207393395,-123.09320121587707,Osteria Savio Volpe,49.25740681198991,-123.09097960431157,Italian Restaurant
Mount Pleasant,49.265936207393395,-123.09320121587707,Kafka’s Coffee & Tea,49.262417749406616,-123.10117809870914,Coffee Shop
Mount Pleasant,49.265936207393395,-123.09320121587707,Main Street Brewing Company,49.26465126728451,-123.09932898091687,Brewery
Mount Pleasant,49.265936207393395,-123.09320121587707,Swiss Bakery,49.26830833180045,-123.10170300174185,Bakery
Mount Pleasant,49.265936207393395,-123.09320121587707,Matchstick Coffee Roasters,49.257063615852864,-123.09038967491895,Coffee Shop
Riley Park,49.24185738103497,-123.11592876727764,Queen Elizabeth Park,49.24156455524772,-123.11335520540814,Park
Riley Park,49.24185738103497,-123.11592876727764,Bloedel Floral Conservatory,49.242019035407715,-123.11371430099251,Garden
Riley Park,49.24185738103497,-123.11592876727764,Seasons in the Park,49.242021449294576,-123.11205523481718,Seafood Restaurant
Riley Park,49.24185738103497,-123.11592876727764,Queen Elizabeth Botanical Gardens,49.24208103659882,-123.11357274557943,Garden
Riley Park,49.24185738103497,-123.11592876727764,Hillcrest Aquatic Centre,49.243953013428225,-123.10754747010733,Gym Pool
Riley Park,49.24185738103497,-123.11592876727764,Winter Farmers Market,49.24323286247231,-123.10559867062385,Farmers Market
Riley Park,49.24185738103497,-123.11592876727764,Queen Elizabeth Park Fountains,49.241568778672466,-123.11356131223909,Plaza
Riley Park,49.24185738103497,-123.11592876727764,Scotiabank Field at Nat Bailey Stadium,49.24325354790551,-123.10611963272095,Baseball Stadium
Riley Park,49.24185738103497,-123.11592876727764,BC Liquor Store,49.23475811779682,-123.11663730734448,Liquor Store
Riley Park,49.24185738103497,-123.11592876727764,VanDusen Botanical Garden,49.23932364202315,-123.12893950011956,Garden
Riley Park,49.24185738103497,-123.11592876727764,Hillcrest Community Centre,49.243553456028245,-123.1075219676005,Gym
Riley Park,49.24185738103497,-123.11592876727764,East is East,49.24543051375108,-123.1012730623112,Middle Eastern Restaurant
Riley Park,49.24185738103497,-123.11592876727764,DAVIDsTEA,49.232683123192075,-123.11807422571168,Tea Room
Riley Park,49.24185738103497,-123.11592876727764,Queen Elizabeth Park Offleash Dog Park,49.23828180257422,-123.11076758415781,Dog Run
Riley Park,49.24185738103497,-123.11592876727764,Pho Tan,49.243385593038,-123.10119138519985,Vietnamese Restaurant
Riley Park,49.24185738103497,-123.11592876727764,Meet on Main,49.246747019649376,-123.10109607941816,Vegetarian / Vegan Restaurant
Riley Park,49.24185738103497,-123.11592876727764,Truffles Fine Foods,49.23938326384898,-123.12890646228996,Sandwich Place
Riley Park,49.24185738103497,-123.11592876727764,Sawasdee Thai Restaurant,49.2470720331701,-123.10107997945191,Thai Restaurant
Riley Park,49.24185738103497,-123.11592876727764,The LEGO Store,49.23167317861678,-123.11837035562371,Toy / Game Store
Riley Park,49.24185738103497,-123.11592876727764,Red Cat Records,49.246413231663354,-123.10111481893901,Record Shop
Riley Park,49.24185738103497,-123.11592876727764,Long's Noodle House 小龍記麵家,49.24124364552543,-123.10159115566664,Chinese Restaurant
Riley Park,49.24185738103497,-123.11592876727764,Au Petit Cafe,49.24124699227528,-123.10161359614094,Vietnamese Restaurant
Riley Park,49.24185738103497,-123.11592876727764,The Shameful Tiki Room,49.246137276339006,-123.10113197510445,Tiki Bar
Riley Park,49.24185738103497,-123.11592876727764,The Acorn,49.24944210511789,-123.10110501736179,Vegetarian / Vegan Restaurant
Riley Park,49.24185738103497,-123.11592876727764,Trafiq Café & Bakery,49.247414161200524,-123.10103642680508,Café
Riley Park,49.24185738103497,-123.11592876727764,Nat Bailey Farmers Market,49.24320850733915,-123.1056602924765,Farmers Market
Riley Park,49.24185738103497,-123.11592876727764,Rackets & Runners,49.2511929539897,-123.1273001078185,Sporting Goods Shop
Riley Park,49.24185738103497,-123.11592876727764,Hawker's Delight,49.248382838752946,-123.1012300263627,Malay Restaurant
Riley Park,49.24185738103497,-123.11592876727764,Pho Bon Vietnamese Restaurant,49.24051888021212,-123.10158282467201,Vietnamese Restaurant
Riley Park,49.24185738103497,-123.11592876727764,Lemonade Gluten Free Bakery,49.2551580971158,-123.11527588323533,Bakery
Downtown,49.28160285856479,-123.118182182312,Rosewood Hotel Georgia,49.28342914255638,-123.1189107326352,Hotel
Downtown,49.28160285856479,-123.118182182312,L'Hermitage,49.2801392339119,-123.11748032945334,Hotel
Downtown,49.28160285856479,-123.118182182312,Hawksworth Restaurant,49.28336228267866,-123.11946181255522,Lounge
Downtown,49.28160285856479,-123.118182182312,Gotham Steakhouse & Cocktail Bar,49.28283023000359,-123.11586538996016,Steakhouse
Downtown,49.28160285856479,-123.118182182312,Medina Café,49.28056540642322,-123.11685919761656,Breakfast Spot
Downtown,49.28160285856479,-123.118182182312,Commodore Ballroom,49.28068562197917,-123.12050972144668,Concert Hall
Downtown,49.28160285856479,-123.118182182312,Disney store,49.281689,-123.11985,Toy / Game Store
Downtown,49.28160285856479,-123.118182182312,Orpheum Theatre,49.28010297415788,-123.12018430593969,Concert Hall
Downtown,49.28160285856479,-123.118182182312,Sephora,49.284091751548736,-123.11720430855082,Cosmetics Shop
Downtown,49.28160285856479,-123.118182182312,The Keg Steakhouse + Bar,49.28345170738431,-123.11617432860257,Steakhouse
Downtown,49.28160285856479,-123.118182182312,Vancouver Art Gallery,49.28282718363111,-123.12045708766203,Art Gallery
Downtown,49.28160285856479,-123.118182182312,Abercrombie & Fitch,49.282273835204236,-123.11868545380594,Clothing Store
Downtown,49.28160285856479,-123.118182182312,Wedgewood Hotel,49.28216333727451,-123.12223713622552,Hotel
Downtown,49.28160285856479,-123.118182182312,Victoria's Secret,49.28337166041721,-123.12249106575216,Lingerie Store
Downtown,49.28160285856479,-123.118182182312,DAVIDsTEA,49.28388892763197,-123.11694102024155,Tea Room
Downtown,49.28160285856479,-123.118182182312,Hyatt Regency Vancouver,49.284933576325365,-123.12040717326492,Hotel
Downtown,49.28160285856479,-123.118182182312,Harbour Dance Centre,49.2800743967742,-123.12186000799825,Dance Studio
