Neighborhood,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.neighborhood,location.postalCode,location.state,name,referralId,venuePage.id,Rating
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,50a2d12be4b07d69fb6bf07f,960 West King Edward Ave.,CA,Vancouver,Canada,,933,"['960 West King Edward Ave.', 'Vancouver BC V5Z 2E2', 'Canada']","[{'label': 'display', 'lat': 49.248559266878914, 'lng': -123.12567416747574}]",49.248559266878914,-123.12567416747574,South Cambie,V5Z 2E2,BC,Osaka Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,5caa8ff83c858d0039e4c200,4018 Cambie St,CA,Vancouver,Canada,,880,"['4018 Cambie St', 'Vancouver BC V5Z', 'Canada']","[{'label': 'display', 'lat': 49.249881, 'lng': -123.11522}]",49.249881,-123.11522,,V5Z,BC,Tonton Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4ba67189f964a520035339e3,423-650 W 41st Ave,CA,Vancouver,Canada,at Oakridge Centre,1016,"['423-650 W 41st Ave (at Oakridge Centre)', 'Vancouver BC V5Z 2M9', 'Canada']","[{'label': 'display', 'lat': 49.23298156131314, 'lng': -123.11770479207854}]",49.23298156131314,-123.11770479207854,,V5Z 2M9,BC,Togo Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,5644110e498e27e752b4e57a,4018 Cambie St,CA,Vancouver,Canada,King Edward,882,"['4018 Cambie St (King Edward)', 'Vancouver BC V5Y 2H5', 'Canada']","[{'label': 'display', 'lat': 49.24990510945179, 'lng': -123.11528955885872}]",49.24990510945179,-123.11528955885872,,V5Y 2H5,BC,Sushi Aria,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",False,5457ed84498ec5170a526eaf,3488 Cambie St,CA,Vancouver,Canada,,1352,"['3488 Cambie St', 'Vancouver BC V5Z 2W8', 'Canada']","[{'label': 'display', 'lat': 49.25415385963171, 'lng': -123.11504179633584}]",49.25415385963171,-123.11504179633584,,V5Z 2W8,BC,Sushi 7,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,51f1caa5e4b0e079471af811,6485 Oak St,CA,Vancouver,Canada,at W 49th Ave,1890,"['6485 Oak St (at W 49th Ave)', 'Vancouver BC V6M 2W7', 'Canada']","[{'label': 'display', 'lat': 49.226806836751095, 'lng': -123.12873761134858}]",49.226806836751095,-123.12873761134858,,V6M 2W7,BC,Sushi Mura,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4ac003e0f964a520769320e3,5888 Cambie St.,CA,Vancouver,Canada,at W. 43rd Ave.,1142,"['5888 Cambie St. (at W. 43rd Ave.)', 'Vancouver BC V5Z 3A8', 'Canada']","[{'label': 'display', 'lat': 49.23189151583755, 'lng': -123.11597429281706}]",49.23189151583755,-123.11597429281706,,V5Z 3A8,BC,Samurai Sushi House,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,50982adee4b0cb1b3389815d,388 W Broadway,CA,Vancouver,Canada,at Yukon St.,2365,"['388 W Broadway (at Yukon St.)', 'Vancouver BC V5Y 1R2', 'Canada']","[{'label': 'display', 'lat': 49.26310882907362, 'lng': -123.11251831875697}]",49.26310882907362,-123.11251831875697,,V5Y 1R2,BC,Sushi California,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,583fa023d25ded6685a2353d,3710 Main Street,CA,Vancouver,Canada,,1629,"['3710 Main Street', 'Vancouver BC V5V 3N7', 'Canada']","[{'label': 'display', 'lat': 49.251842, 'lng': -123.100733}]",49.251842,-123.100733,,V5V 3N7,BC,Sushi Main,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4aa74de4f964a520a54c20e3,4342 Main St.,CA,Vancouver,Canada,at 28th Ave.,1274,"['4342 Main St. (at 28th Ave.)', 'Vancouver BC V5V 3P9', 'Canada']","[{'label': 'display', 'lat': 49.246276965530896, 'lng': -123.10113677745645}]",49.246276965530896,-123.10113677745645,,V5V 3P9,BC,Ogenki Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,59e7b3aa829b0c7a27fb9785,,CA,Vancouver,Canada,,2092,"['Vancouver BC V5Z 3X7', 'Canada']","[{'label': 'display', 'lat': 49.260894, 'lng': -123.116577}]",49.260894,-123.116577,,V5Z 3X7,BC,Sushi Tomi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",False,55038a91498e847a3e3f909c,,CA,Vancouver,Canada,,1381,"['Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.248314, 'lng': -123.101006}]",49.248314,-123.101006,,,BC,1/2 Roll Japanese Grill & Sushi Bar,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,509b2bafe4b0397ad6f044f3,3851 Main St,CA,Vancouver,Canada,,1524,"['3851 Main St', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.250682596629545, 'lng': -123.10110822658619}]",49.250682596629545,-123.10110822658619,,,BC,Sushi Mania,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,5b075046dab4b1002cd38b72,3916 Fraser Street,CA,Vancouver,Canada,E 24th Street,2174,"['3916 Fraser Street (E 24th Street)', 'Vancouver BC V5V 4E4', 'Canada']","[{'label': 'display', 'lat': 49.249858, 'lng': -123.090012}]",49.249858,-123.090012,,V5V 4E4,BC,Good Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",False,534a189c498ee81aa4fd6589,3710 Main Street,CA,Vancouver,Canada,,1645,"['3710 Main Street', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.252017974853516, 'lng': -123.10067749023438}]",49.252017974853516,-123.10067749023438,,,BC,Zipang Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4aaae6a3f964a520ef5720e3,3349 Cambie St.,CA,Vancouver,Canada,at 17th Ave.,1508,"['3349 Cambie St. (at 17th Ave.)', 'Vancouver BC V5Z 2W6', 'Canada']","[{'label': 'display', 'lat': 49.255581708949705, 'lng': -123.11520607478995}]",49.255581708949705,-123.11520607478995,,V5Z 2W6,BC,Tokyo John Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4eeffa739a52cecf4274fe66,789 West 16th Ave,CA,Vancouver,Canada,Willow Street,1696,"['789 West 16th Ave (Willow Street)', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.257106, 'lng': -123.121599}]",49.257106,-123.121599,,,BC,Soho Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4bb67bcaef159c744d0976f7,3007 Cambie St.,CA,Vancouver,Canada,At W 14th Ave.,1851,"['3007 Cambie St. (At W 14th Ave.)', 'Vancouver BC V5Z 4N2', 'Canada']","[{'label': 'display', 'lat': 49.258673, 'lng': -123.115217}]",49.258673,-123.115217,,V5Z 4N2,BC,Jun Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4e0a30bf483bf14c25bc4edc,33-555 W 12th Ave.,CA,Vancouver,Canada,at Cambie St.,2112,"['33-555 W 12th Ave. (at Cambie St.)', 'Vancouver BC V5Z 3X7', 'Canada']","[{'label': 'display', 'lat': 49.261070945557336, 'lng': -123.1162662608514}]",49.261070945557336,-123.1162662608514,,V5Z 3X7,BC,Hiro Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",False,4d7be5486152b60c47c18726,5830 Fraser St.,CA,Vancouver,Canada,,2270,"['5830 Fraser St.', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.231753, 'lng': -123.090563}]",49.231753,-123.090563,,,BC,Wakame Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d113941735', 'name': 'Korean Restaurant', 'pluralName': 'Korean Restaurants', 'shortName': 'Korean', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/korean_', 'suffix': '.png'}, 'primary': True}]",False,4e6adae152b1c120600290a0,2-2993 Granville St.,CA,Vancouver,Canada,at W 14th Ave.,2441,"['2-2993 Granville St. (at W 14th Ave.)', 'Vancouver BC V6H 3J6', 'Canada']","[{'label': 'display', 'lat': 49.25898988397179, 'lng': -123.13892174557297}]",49.25898988397179,-123.13892174557297,,V6H 3J6,BC,Kyo Korean BBQ & Sushi,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4aaac1b0f964a5203c5720e3,3068 Main St.,CA,Vancouver,Canada,at E 15th Ave.,2122,"['3068 Main St. (at E 15th Ave.)', 'Vancouver BC V5V 3N7', 'Canada']","[{'label': 'display', 'lat': 49.257917870381505, 'lng': -123.10114854893696}]",49.257917870381505,-123.10114854893696,,V5V 3N7,BC,Zipang Provisions,v-1563626120,,-1
South Cambie,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",False,4aac71adf964a520fa5d20e3,3096 Cambie St,CA,Vancouver,Canada,,1772,"['3096 Cambie St', 'Vancouver BC V5Z 2V9', 'Canada']","[{'label': 'display', 'lat': 49.25793111820758, 'lng': -123.11478014107705}]",49.25793111820758,-123.11478014107705,,V5Z 2V9,BC,Shiro,v-1563626121,,-1
